Taxonomic Element,Collection Catalog No.,Sex,Date,Locality,Collector ,Preparer,Cabinet,Drawer,Comments,Identifier
bird foot black,20000,,,,,,,,,
Archilochus colubris,20102,female,,,,,,,,
Dryocopus pileatus ,20172,female,04/01/1992,,Russell Rogers,,,,,
Catharus fuscescens ,20199,,1996,"Buncombe Co., Asheville, NC",,,,,,
Catharus ustulatus ,20209,,10/1990,"Asheville, NC",JW Miller,Russell Rogers,,,,
Coccothraustes vespertinus ,20491,male,1962,"Boone Co., Columbia,Missouri",,Dale Crider,,,,
Ramphastos sulfuratus ,20636,,,,,,,,was labeled 20635,
Crotalus adamanteus ,21006,-,-,-,-,-,,,,Aryeh H. Miller
Agkistrodon piscivorus ,21021,Male,,,,,,,,Aryeh H. Miller
Agkistrodon contortrix,21022,,,Southeast U.S.,,,,,,Aryeh H. Miller
